## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics INPUT=/io/cloudfuse/broad-public-datasets/CHM1_CHM13_WGS2/CHM1_CHM13_WGS2.cram OUTPUT=CHM1_CHM13_WGS2.collect_wgs_metrics.txt STOP_AFTER=50000000 REFERENCE_SEQUENCE=/io/cloudfuse/gcp-public-data--broad-references/hg38/v0/Homo_sapiens_assembly38.fasta    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 COVERAGE_CAP=250 LOCUS_ACCUMULATION_CAP=100000 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] USE_FAST_ALGORITHM=false READ_LENGTH=150 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=2 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 23 03:55:22 GMT 2023

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
50000000	40.98646	10.206005	41	5	0.000002	0.025098	0.015818	0.004895	0.071685	0.053849	0.00021	0.171558	0.990783	0.986877	0.983599	0.980234	0.97531	0.963652	0.924341	0.595219	0.147617	0.014701	0.003349	0.002128	0.001511	0.001205	1.171042	1.322144	1.518017	0.987683	19

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	460869
1	72855
2	47332
3	38708
4	36406
5	34025
6	34222
7	33264
8	31964
9	30390
10	31115
11	31723
12	32829
13	35268
14	37346
15	39454
16	43189
17	47753
18	53893
19	61904
20	73116
21	88420
22	108802
23	137379
24	175168
25	224391
26	288127
27	372283
28	475567
29	605203
30	755902
31	929178
32	1125013
33	1339689
34	1559718
35	1781894
36	1986787
37	2174701
38	2339341
39	2463881
40	2554465
41	2597460
42	2589451
43	2534180
44	2432359
45	2299282
46	2133252
47	1947881
48	1747886
49	1543866
50	1341559
51	1148095
52	968583
53	800797
54	654039
55	527468
56	420866
57	329865
58	256695
59	197818
60	149722
61	112337
62	84486
63	62708
64	46935
65	35358
66	27083
67	20645
68	15837
69	12500
70	10070
71	8532
72	7376
73	6494
74	5847
75	5358
76	4878
77	4417
78	4181
79	3886
80	3704
81	3483
82	3466
83	3373
84	3190
85	2984
86	2873
87	2807
88	2524
89	2440
90	2297
91	2070
92	1931
93	1716
94	1638
95	1376
96	1231
97	1139
98	963
99	936
100	932
101	849
102	759
103	836
104	876
105	854
106	936
107	862
108	941
109	917
110	939
111	895
112	922
113	964
114	906
115	932
116	974
117	1008
118	942
119	966
120	978
121	971
122	928
123	927
124	936
125	966
126	920
127	904
128	848
129	855
130	828
131	770
132	791
133	814
134	736
135	781
136	711
137	723
138	700
139	669
140	616
141	618
142	644
143	578
144	623
145	596
146	582
147	605
148	581
149	607
150	586
151	605
152	581
153	593
154	575
155	564
156	528
157	533
158	530
159	572
160	486
161	521
162	508
163	484
164	475
165	430
166	426
167	373
168	370
169	340
170	338
171	308
172	271
173	283
174	275
175	257
176	217
177	217
178	206
179	167
180	146
181	150
182	163
183	135
184	134
185	127
186	133
187	108
188	91
189	80
190	82
191	65
192	70
193	66
194	73
195	65
196	56
197	64
198	65
199	72
200	89
201	73
202	75
203	78
204	83
205	81
206	76
207	66
208	68
209	62
210	62
211	73
212	68
213	65
214	58
215	67
216	59
217	58
218	56
219	38
220	31
221	19
222	26
223	32
224	29
225	21
226	30
227	22
228	19
229	32
230	19
231	23
232	24
233	15
234	19
235	24
236	25
237	22
238	23
239	30
240	34
241	31
242	18
243	30
244	25
245	26
246	37
247	33
248	23
249	29
250	2567

