## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=CHMI_CHMI3_Nex1.insert_size_metrics.pdf INPUT=/io/cloudfuse/broad-public-datasets/CHM1_CHM13_WES/CHMI_CHMI3_Nex1.cram OUTPUT=CHMI_CHMI3_Nex1.insert_size_metrics.txt STOP_AFTER=50000000 REFERENCE_SEQUENCE=/io/cloudfuse/gcp-public-data--broad-references/hg38/v0/Homo_sapiens_assembly38.fasta    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=2 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 23 03:48:04 GMT 2023

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
393	373	87	1	223223971	399.387399	125.357838	17261651	FR	33	67	101	137	175	217	263	321	407	485	651			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
1	4
2	23
3	19
4	40
5	12
6	18
7	23
8	22
9	143
10	37
11	29
12	29
13	20
14	51
15	42
16	38
17	37
18	29
19	74
20	52
21	58
22	59
23	49
24	59
25	66
26	56
27	86
28	91
29	98
30	111
31	108
32	139
33	172
34	159
35	171
36	186
37	227
38	244
39	288
40	299
41	272
42	309
43	380
44	383
45	362
46	383
47	446
48	443
49	496
50	504
51	508
52	561
53	514
54	628
55	557
56	611
57	722
58	653
59	680
60	688
61	714
62	791
63	741
64	840
65	891
66	862
67	895
68	905
69	942
70	989
71	1053
72	995
73	1097
74	1035
75	1108
76	1142
77	1233
78	1137
79	1151
80	1247
81	1409
82	1342
83	1309
84	1356
85	1405
86	1473
87	1419
88	1516
89	1583
90	1523
91	1569
92	1579
93	1730
94	1788
95	1797
96	1799
97	1792
98	1912
99	1915
100	2034
101	1936
102	2020
103	2092
104	2132
105	2190
106	2161
107	2252
108	2348
109	2350
110	2394
111	2497
112	2537
113	2573
114	2616
115	2767
116	2839
117	2902
118	3004
119	2929
120	2926
121	3067
122	3138
123	3050
124	3223
125	3308
126	3476
127	3520
128	3492
129	3823
130	3616
131	3542
132	3966
133	3907
134	4128
135	4119
136	4174
137	4365
138	4204
139	4408
140	4499
141	4752
142	4755
143	4878
144	4979
145	5139
146	5091
147	5315
148	5416
149	5505
150	5605
151	5841
152	5786
153	6244
154	6213
155	6140
156	6355
157	6558
158	6836
159	6745
160	6916
161	7067
162	7023
163	7572
164	7640
165	7896
166	7763
167	8100
168	8143
169	8333
170	8576
171	8750
172	9094
173	9155
174	9336
175	9378
176	9757
177	10169
178	10156
179	10531
180	10539
181	10773
182	11020
183	11255
184	11512
185	11786
186	12249
187	12225
188	12610
189	12741
190	13169
191	13125
192	13600
193	13975
194	14121
195	14354
196	14418
197	14662
198	15400
199	15378
200	15874
201	16096
202	16466
203	16848
204	16911
205	16996
206	17782
207	17512
208	18096
209	18739
210	18837
