## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics INPUT=/io/cloudfuse/broad-public-datasets/CHM1_CHM13_WES/CHMI_CHMI3_Nex1.cram OUTPUT=CHMI_CHMI3_Nex1.collect_wgs_metrics.txt STOP_AFTER=50000000 REFERENCE_SEQUENCE=/io/cloudfuse/gcp-public-data--broad-references/hg38/v0/Homo_sapiens_assembly38.fasta    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 COVERAGE_CAP=250 LOCUS_ACCUMULATION_CAP=100000 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] USE_FAST_ALGORITHM=false READ_LENGTH=150 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=2 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 23 03:54:33 GMT 2023

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
50000000	5.359828	22.512551	0	0	0.000001	0.060503	0.287063	0.000328	0.038609	0.022345	0.008884	0.417734	0.286385	0.101252	0.086045	0.075404	0.066643	0.059208	0.05289	0.042598	0.034718	0.028716	0.024061	0.020313	0.017168	0.014571	?	?	?	0.117386	1

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	35680728
1	7160525
2	1410128
3	438092
4	247926
5	194044
6	166256
7	144794
8	133035
9	122207
10	116282
11	110730
12	106046
13	102047
14	96957
15	93099
16	90194
17	87839
18	84706
19	82215
20	79356
21	77053
22	74631
23	71801
24	68914
25	66363
26	64994
27	63669
28	61849
29	59024
30	57846
31	55862
32	54466
33	53076
34	52377
35	50550
36	49349
37	48066
38	47250
39	45746
40	44562
41	43637
42	42339
43	41207
44	39691
45	38557
46	37329
47	36398
48	35468
49	34818
50	33991
51	32849
52	31674
53	31215
54	30481
55	29695
56	28744
57	27844
58	27145
59	26468
60	25943
61	25236
62	24765
63	24177
64	23177
65	22856
66	22582
67	21880
68	21181
69	20952
70	20574
71	19990
72	19675
73	19039
74	18637
75	18179
76	18333
77	17987
78	17562
79	17421
80	17058
81	16739
82	16556
83	16125
84	15644
85	15453
86	15325
87	15071
88	14806
89	14474
90	14336
91	14270
92	13595
93	13239
94	13035
95	12721
96	12659
97	12288
98	12038
99	11670
100	11775
101	11639
102	11257
103	10931
104	10682
105	10574
106	10177
107	9932
108	9903
109	9826
110	9554
111	9363
112	9446
113	9148
114	8922
115	8786
116	8700
117	8728
118	8362
119	8270
120	8356
121	7987
122	7967
123	7906
124	7996
125	7604
126	7406
127	7591
128	7369
129	7299
130	7080
131	7163
132	6748
133	6786
134	6849
135	6757
136	6628
137	6662
138	6481
139	6270
140	6184
141	5991
142	5989
143	6029
144	5887
145	5836
146	5707
147	5538
148	5464
149	5513
150	5238
151	5128
152	5078
153	4887
154	4745
155	4907
156	4629
157	4574
158	4621
159	4516
160	4397
161	4325
162	4282
163	4241
164	4090
165	4093
166	4080
167	4033
168	3796
169	3819
170	3763
171	3709
172	3662
173	3474
174	3432
175	3362
176	3400
177	3305
178	3254
179	3265
180	3209
181	3176
182	3137
183	3016
184	3009
185	2869
186	2783
187	2889
188	2799
189	2825
190	2705
191	2703
192	2700
193	2632
194	2580
195	2441
196	2487
197	2541
198	2385
199	2456
200	2320
201	2233
202	2166
203	2232
204	2103
205	2116
206	2083
207	2093
208	2040
209	2012
210	2078
211	1993
212	1966
213	1895
214	1876
215	1860
216	1806
217	1761
218	1768
219	1736
220	1609
221	1669
222	1605
223	1586
224	1595
225	1533
226	1457
227	1576
228	1571
229	1428
230	1395
231	1403
232	1452
233	1426
234	1381
235	1334
236	1365
237	1265
238	1238
239	1314
240	1375
241	1185
242	1197
243	1183
244	1177
245	1164
246	1160
247	1161
248	1174
249	1153
250	68815

