## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=CHM1_CHM13_WGS2.insert_size_metrics.pdf INPUT=/io/cloudfuse/broad-public-datasets/CHM1_CHM13_WGS2/CHM1_CHM13_WGS2.cram OUTPUT=CHM1_CHM13_WGS2.insert_size_metrics.txt STOP_AFTER=50000000 REFERENCE_SEQUENCE=/io/cloudfuse/gcp-public-data--broad-references/hg38/v0/Homo_sapiens_assembly38.fasta    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=2 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 23 03:48:05 GMT 2023

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
327	300	67	1	246597880	341.871873	114.662175	23310349	FR	25	51	77	105	135	169	211	271	377	495	845			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
1	1
2	558
3	582
4	610
5	601
6	566
7	632
8	614
9	613
10	676
11	707
12	703
13	640
14	689
15	666
16	657
17	670
18	712
19	769
20	750
21	791
22	779
23	816
24	902
25	941
26	904
27	924
28	912
29	983
30	1054
31	1126
32	1300
33	1210
34	1342
35	1350
36	1309
37	1447
38	1526
39	1541
40	1603
41	1617
42	1648
43	1727
44	1837
45	1896
46	1921
47	1969
48	1931
49	2050
50	2094
51	2121
52	2130
53	2242
54	2152
55	2168
56	2218
57	2178
58	2193
59	2248
60	2173
61	2213
62	2297
63	2154
64	2274
65	2219
66	2231
67	2216
68	2233
69	2206
70	2266
71	2277
72	2337
73	2353
74	2303
75	2337
76	2385
77	2354
78	2414
79	2380
80	2363
81	2479
82	2508
83	2585
84	2592
85	2588
86	2678
87	2723
88	2716
89	2847
90	2843
91	3000
92	3090
93	3081
94	3268
95	3241
96	3367
97	3393
98	3584
99	3643
100	3733
101	3868
102	3962
103	4063
104	4243
105	4353
106	4476
107	4465
108	4681
109	4741
110	4828
111	5015
112	5084
113	5377
114	5594
115	5593
116	5710
117	5856
118	5976
119	6242
120	6299
121	6450
122	6791
123	7009
124	7000
125	7177
126	7453
127	7698
128	7945
129	8078
130	8306
131	8416
132	8648
133	8630
134	8939
135	9226
136	9510
137	9794
138	10073
139	10275
140	10628
141	10925
142	10973
143	11123
144	11613
145	11944
146	11835
147	12479
148	12566
149	12657
150	13083
151	13384
152	13613
153	14076
154	14122
155	14706
156	15063
157	15263
158	15458
159	15680
160	16076
161	16191
162	16784
163	17172
164	17680
165	17724
166	18416
167	18626
168	18824
169	19282
170	19616
171	19902
172	20172
173	20542
174	21098
175	21366
176	22077
177	22379
178	22538
179	22909
180	23719
181	23961
182	24396
183	24831
184	25041
185	25744
186	26365
187	27030
188	27351
189	27818
190	28223
191	28775
192	29508
193	29985
194	30424
195	31213
196	31789
197	32221
198	32840
199	33579
200	33820
201	34546
