tool	positive_or_negative_loci	coverage	data_group_number	num_loci	tool_run_time_seconds	max_resident_set_kbytes	average_resident_set_kbytes	seconds_per_10k_loci	minutes_per_10k_loci
ExpansionHunter	negative_loci	40x genome	0	19072	8962.28	1012188.0	0.0	4699.182046979866	78.31970078299777
ExpansionHunter	negative_loci	40x genome	1	19000	8896.58	817554.0	0.0	4682.41052631579	78.04017543859649
ExpansionHunter	negative_loci	40x genome	2	19000	8185.35	559988.0	0.0	4308.078947368421	71.80131578947368
ExpansionHunter	negative_loci	40x genome	3	19000	8870.25	759828.0	0.0	4668.5526315789475	77.8092105263158
ExpansionHunter	negative_loci	40x genome	4	19000	9001.17	851784.0	0.0	4737.457894736842	78.95763157894736
ExpansionHunter	negative_loci	40x genome	5	19000	9327.6	1504920.0	0.0	4909.263157894737	81.82105263157895
ExpansionHunter	negative_loci	40x genome	6	19000	8762.210000000001	818318.0	0.0	4611.689473684211	76.8614912280702
ExpansionHunter	negative_loci	40x genome	7	19000	8776.39	1079834.0	0.0	4619.152631578947	76.98587719298244
ExpansionHunter	positive_loci	40x genome	0	19500	10032.16	1002972.0	0.0	5144.697435897436	85.74495726495726
ExpansionHunter	positive_loci	40x genome	1	19500	9970.12	1222280.0	0.0	5112.882051282052	85.21470085470087
ExpansionHunter	positive_loci	40x genome	2	19500	11220.49	1893652.0	0.0	5754.097435897436	95.90162393162394
ExpansionHunter	positive_loci	40x genome	3	19297	9781.38	1146412.0	0.0	5068.860444628698	84.4810074104783
ExpansionHunter	positive_loci	40x genome	4	19000	9167.49	965364.0	0.0	4824.994736842105	80.41657894736842
ExpansionHunter	positive_loci	40x genome	5	19000	9252.75	1321488.0	0.0	4869.868421052632	81.16447368421053
ExpansionHunter	positive_loci	40x genome	6	19000	9016.15	818300.0	0.0	4745.3421052631575	79.0890350877193
ExpansionHunter	positive_loci	40x genome	7	19000	9097.13	755048.0	0.0	4787.9631578947365	79.79938596491228
GangSTR	negative_loci	40x genome	0	20000	2246.96	40036.0	0.0	1123.48	18.724666666666668
GangSTR	negative_loci	40x genome	1	20000	2274.26	39620.0	0.0	1137.13	18.952166666666667
GangSTR	negative_loci	40x genome	2	20000	2168.0	40230.0	0.0	1084.0	18.066666666666666
